000000000000 
000101101000 F' 
100010010001 B' 
001101001000 R' F' 
000101011000 R2 F' 
000101001010 R F' 
010001101000 U' F' 
100001101000 U2 F' 
001001101000 U F' 
100111111001 B' F' 
000100101100 L' F' 
000110101000 L2 F' 
010100101000 L F' 
000101100010 D' F' 
000101100001 D2 F' 
000101100100 D F' 
100010000011 R' B' 
100010100001 R2 B' 
101010000001 R B' 
001010010001 U' B' 
000110010001 U2 B' 
010010010001 U B' 
110000010001 L' B' 
100001010001 L2 B' 
100000010101 L B' 
100010010100 D' B' 
100010011000 D2 B' 
100010010010 D B' 
001000001000 F' R' F' 
001100101000 F2 R' F' 
001100000000 F R' F' 
010101001000 U' R' F' 
110001001000 U2 R' F' 
101001001000 U R' F' 
101111011001 B' R' F' 
001100001100 L' R' F' 
001110001000 L2 R' F' 
011100001000 L R' F' 
001101000010 D' R' F' 
001101000001 D2 R' F' 
001101000100 D R' F' 
000000011000 F' R2 F' 
000100111000 F2 R2 F' 
000100010000 F R2 F' 
010001011000 U' R2 F' 
100001011000 U2 R2 F' 
001001011000 U R2 F' 
000111011001 B' R2 F' 
000111001000 B2 R2 F' 
100111011000 B R2 F' 
000100011100 L' R2 F' 
000110011000 L2 R2 F' 
010100011000 L R2 F' 
000101010010 D' R2 F' 
000101010001 D2 R2 F' 
000101010100 D R2 F' 
000000001010 F' R F' 
000100101010 F2 R F' 
000100000010 F R F' 
010001001010 U' R F' 
100001001010 U2 R F' 
001001001010 U R F' 
100111011011 B' R F' 
000100001110 L' R F' 
000110001010 L2 R F' 
010100001010 L R F' 
000101000011 D' R F' 
000101000101 D2 R F' 
000101001100 D R F' 
010000100000 F' U' F' 
010101100000 F2 U' F' 
010001000000 F U' F' 
011001001000 R' U' F' 
110011111001 B' U' F' 
000001101100 L' U' F' 
000010101100 L2 U' F' 
010010101000 L U' F' 
010001100010 D' U' F' 
010001100001 D2 U' F' 
010001100100 D U' F' 
100000100000 F' U2 F' 
100101100000 F2 U2 F' 
100001000000 F U2 F' 
100001111001 B' U2 F' 
000001101001 B2 U2 F' 
100011101001 B U2 F' 
100000101100 L' U2 F' 
100010101000 L2 U2 F' 
110000101000 L U2 F' 
100001100010 D' U2 F' 
100001100001 D2 U2 F' 
100001100100 D U2 F' 
001000100000 F' U F' 
001101100000 F2 U F' 
001001000000 F U F' 
000001011010 R2 U F' 
000001101010 R U F' 
101011111001 B' U F' 
001000101100 L' U F' 
001010101000 L2 U F' 
011000101000 L U F' 
001001100010 D' U F' 
001001100001 D2 U F' 
001001100100 D U F' 
101111001011 R' B' F' 
011011111001 U' B' F' 
110100111101 L' B' F' 
100111110110 D' B' F' 
000100000100 F' L' F' 
000000001100 F L' F' 
010000101100 U' L' F' 
100110111101 B' L' F' 
000100100011 D2 L' F' 
000100100101 D L' F' 
000110000000 F' L2 F' 
000010001000 F L2 F' 
100110111000 B' L2 F' 
000110111001 B L2 F' 
000110100010 D' L2 F' 
000110100001 D2 L2 F' 
000110100100 D L2 F' 
010100000000 F' L F' 
010000001000 F L F' 
101000101000 U2 L F' 
110110111001 B' L F' 
010100100010 D' L F' 
010100100001 D2 L F' 
010100100100 D L F' 
000001000010 F' D' F' 
000000100010 F D' F' 
001101010000 R2 D' F' 
100111110011 B' D' F' 
000100100110 L' D' F' 
000001000001 F' D2 F' 
000000100001 F D2 F' 
100111100001 B' D2 F' 
100101110001 B D2 F' 
000001000100 F' D F' 
000000100100 F D F' 
000101000110 R D F' 
100111110101 B' D F' 
010110100000 L2 D F' 
100111101011 F' R' B' 
001010000011 U' R' B' 
000110000011 U2 R' B' 
010010000011 U R' B' 
100000000010 B' R' B' 
100000010011 B2 R' B' 
